,A_G,A_L,Revenue_G,Revenue_L
52,0.0,0.1,96.62419790856627,-202.5100070637824
53,0.0,0.1,96.75033089502517,-255.78749205522172
54,0.0,0.1,98.27228224772725,-271.06814948616807
55,0.0,0.1,95.2978700894944,-253.2052667473964
56,0.0,0.1,96.84329720907303,-257.7161459123226
57,0.0,0.1,96.7517846800435,-238.44324043535067
58,0.0,0.1,96.73094554339164,-230.0750399598413
59,0.0,0.1,97.48103270658125,-283.25109215144096
60,0.0,0.1,94.67903222110942,-262.5979403849997
61,0.0,0.1,96.27988669785302,-285.36545381693196
62,0.0,0.1,94.11094185444936,-221.11683260651603
63,0.0,0.1,93.7868895748819,-271.23164671549375
64,0.0,0.1,95.3391793796133,-273.75899546084327
65,0.0,0.1,93.04385512987035,-261.60894730121055
66,0.0,0.1,96.13082590241928,-225.32886112137913
67,0.0,0.1,96.18023099700082,-243.78677268901268
68,0.0,0.1,96.06571779093392,-252.88181966122903
69,0.0,0.1,97.29965995194104,-259.2151980661692
70,0.0,0.1,96.41751385067954,-258.7008587122641
71,0.0,0.1,94.26066005996665,-280.1163711612653
72,0.0,0.1,96.4019111901358,-266.16219816360825
73,0.0,0.1,95.64589737022979,-261.49550402889304
74,0.0,0.1,96.49197573934553,-278.25006171890016
75,0.0,0.1,95.7658082874769,-280.66264517362333
76,0.0,0.1,98.33959594087752,-245.63585606477216
77,0.0,0.1,95.69872026127234,-265.21212732031785
78,0.0,0.1,97.87752224066654,-215.0249271149455
79,0.0,0.1,96.53985944921543,-228.334502668955
80,0.0,0.1,99.20010663677675,-233.41432741181373
81,0.0,0.1,94.82489465041381,-270.42877249551987
82,0.0,0.1,92.34431008240081,-240.17116457918908
83,0.0,0.1,94.60237630724323,-290.680132433469
84,0.0,0.1,96.64693272977777,-244.23621828366987
85,0.0,0.1,96.93016983711054,-243.39741969010876
86,0.0,0.1,97.54793717136032,-304.22116760303476
87,0.0,0.1,99.57238592270116,-276.89553992382383
88,0.0,0.1,96.53558874020048,-256.51438695468977
89,0.0,0.1,97.23696000785824,-228.62832274138725
90,0.0,0.1,95.29706857154319,-259.4458652894737
91,0.0,0.1,98.22430732629739,-245.2367213581161
92,0.0,0.1,98.36738663923913,-250.95236729834724
93,0.0,0.1,94.7192520331579,-276.1876086820778
94,0.0,0.1,97.91910499615066,-252.12309697510506
95,0.0,0.1,98.49131682609729,-276.0639925414511
96,0.0,0.1,96.82928997807815,-246.08777899154137
97,0.0,0.1,96.92238477415006,-251.6593599382363
98,0.0,0.1,94.6997571187337,-241.37989338975993
99,0.0,0.1,96.61922726131989,-262.77727034216883
100,0.0,0.1,98.58531587415409,-204.4472442599533
101,0.0,0.1,98.13596824457764,-264.8718568443155
102,0.0,0.1,98.99897743621015,-256.84167175054256
103,0.0,0.1,98.1678639741247,-294.2571718110801
104,0.0,0.1,96.50369505601637,-229.3284904026542
105,0.0,0.1,96.47862196800703,-295.22055973473005
106,0.0,0.1,95.51605175660725,-252.21627671594794
107,0.0,0.1,96.03434881598068,-289.90136693252674
108,0.0,0.1,93.9076142668181,-284.6039198735742
109,0.0,0.1,96.61575736693409,-236.155087778248
110,0.0,0.1,97.85492393660765,-273.99885859050573
111,0.0,0.1,96.17734151069547,-236.21306872054268
112,0.0,0.1,96.40235596869417,-231.44653704009724
113,0.0,0.1,98.11062664498714,-294.1485566632713
114,0.0,0.1,95.78475017724784,-259.2301449042984
115,0.0,0.1,95.53346107051644,-258.09044929230623
116,0.0,0.1,98.58726424408249,-253.37848685653
117,0.0,0.1,96.51810351203964,-240.26403505126345
