,A_G,A_L,Revenue_G,Revenue_L
134,0.0,0.1,130.7945420953061,-254.5996714783597
135,0.0,0.1,109.26256450145613,-256.0494582381124
136,0.0,0.1,83.21914709559573,-255.81241058249825
137,0.0,0.1,128.67504882086834,-264.52669980297026
138,0.0,0.1,97.10459255422661,-253.6923240406785
139,0.0,0.1,122.74367600829413,-259.30814714478544
140,0.0,0.1,103.70407903665235,-255.38783359490455
141,0.0,0.1,77.23049515386349,-259.9599585122878
142,0.0,0.1,109.39750129669957,-254.8747816922036
143,0.0,0.1,97.60761344301538,-256.7973967608455
144,0.0,0.1,111.198761785468,-255.74510967656602
145,0.0,0.1,89.51796456280887,-255.9561664073557
146,0.0,0.1,98.18304704672705,-258.25310201716127
147,0.0,0.1,86.88451656338201,-260.19842331021556
148,0.0,0.1,108.44869255969917,-259.02149211081337
149,0.0,0.1,86.78588953876714,-253.69746874728403
150,0.0,0.1,93.787323045898,-257.95677616040376
151,0.0,0.1,103.73544521701875,-255.8051626115443
152,0.0,0.1,133.12887657263906,-256.2047580724304
153,0.0,0.1,48.39343308706748,-258.7111427063603
154,0.0,0.1,104.7985767317443,-261.3894674027991
155,0.0,0.1,130.7725256085274,-255.82058150069918
156,0.0,0.1,122.22735761031996,-256.48792389577545
157,0.0,0.1,94.70067004506011,-254.27597698058872
158,0.0,0.1,86.32336837911828,-253.33245126751802
159,0.0,0.1,78.69845337987286,-259.55101314901907
160,0.0,0.1,56.903820706418976,-249.27798377101027
161,0.0,0.1,88.48068505066487,-256.7387766654002
162,0.0,0.1,103.79968895549587,-258.9758083386511
163,0.0,0.1,86.07152587882864,-259.5308816424365
164,0.0,0.1,124.67122543203305,-261.9384324716679
165,0.0,0.1,109.93530356867889,-256.9476390391746
166,0.0,0.1,88.03486626686117,-260.73502167445525
167,0.0,0.1,60.7120756566145,-248.48433530576352
168,0.0,0.1,139.4237125179069,-262.1514845251504
169,0.0,0.1,118.82604081245108,-252.36711030162894
170,0.0,0.1,145.10081880519303,-261.4747966435686
171,0.0,0.1,86.39500655163714,-250.65293861087622
172,0.0,0.1,98.07373761514076,-259.4967857054426
173,0.0,0.1,96.76440534152776,-262.30645625964394
174,0.0,0.1,117.08679969377712,-256.04914974656543
175,0.0,0.1,133.24955421484702,-257.4282210996107
176,0.0,0.1,49.16363847193968,-255.3603509678437
177,0.0,0.1,58.55349633435569,-254.18470800996047
178,0.0,0.1,98.90896249219045,-254.93511747510863
179,0.0,0.1,67.82060762647713,-250.67802193635083
180,0.0,0.1,109.4888695764614,-258.35454255857917
181,0.0,0.1,83.00641655946283,-261.4898519387004
182,0.0,0.1,81.89136701310557,-255.2061823991446
183,0.0,0.1,91.59020382590732,-259.82951173587816
184,0.0,0.1,66.91920999605657,-253.0614590931521
185,0.0,0.1,87.84236642713452,-255.2635972052878
186,0.0,0.1,89.39064095225876,-254.9912327867809
187,0.0,0.1,108.10717799140818,-257.42126261779583
188,0.0,0.1,91.9103811453371,-258.61490588396555
189,0.0,0.1,116.24459296012267,-254.36658182313795
190,0.0,0.1,133.20535377104446,-256.34521422809394
191,0.0,0.1,82.25827905487634,-255.56380416403377
192,0.0,0.1,97.29027091897493,-255.13767699041628
193,0.0,0.1,91.99451502129952,-263.344387641944
194,0.0,0.1,91.13282283628726,-254.2584304941772
195,0.0,0.1,102.05565250892172,-258.7915467675068
196,0.0,0.1,90.92025322846668,-253.6981107619582
197,0.0,0.1,102.02262737112432,-257.5752587597019
198,0.0,0.1,127.83199228703734,-256.0386400006888
199,0.0,0.1,107.28175345292095,-259.7490477827171
200,0.0,0.1,82.56948086341991,-263.9753050344095
201,0.0,0.1,112.10933253078514,-256.1528012084922
202,0.0,0.1,63.62521756675268,-252.99262166428844
203,0.0,0.1,67.4141866516656,-259.71153724107637
204,0.0,0.1,96.5942270588638,-254.7849444643472
205,0.0,0.1,123.83319007467307,-258.5946230668766
206,0.0,0.1,82.47875915203824,-261.3976236101774
207,0.0,0.1,43.55178027230548,-259.24553328117486
208,0.0,0.1,107.68751810058848,-257.24245271874764
209,0.0,0.1,102.40422014927498,-256.9296229809468
210,0.0,0.1,67.72718202112819,-257.6533468748198
211,0.0,0.1,120.01220418527336,-260.00633300056455
212,0.0,0.1,78.35860942689504,-253.92694560633163
213,0.0,0.1,61.77598761728112,-258.8886858408709
214,0.0,0.1,97.23774576868819,-260.1778852708909
215,0.0,0.1,56.80466698304993,-257.3651902658386
216,0.0,0.1,120.15869043824797,-257.734738802497
217,0.0,0.1,97.57933809759069,-257.09678971723656
218,0.0,0.1,110.17811042401257,-262.64024215185043
219,0.0,0.1,123.42170271542511,-253.94936155322256
220,0.0,0.1,77.93740405794053,-255.43357651356467
221,0.0,0.1,115.54122771066241,-256.9637296016282
222,0.0,0.1,80.53479876433737,-257.4559538472036
223,0.0,0.1,95.50970467990287,-255.3865952530709
224,0.0,0.1,89.62600853995208,-260.3011198867157
225,0.0,0.1,81.92485841411428,-252.76292722260678
226,0.0,0.1,110.67984679518085,-256.49827286421186
227,0.0,0.1,124.39579519836127,-256.625837477942
228,0.0,0.1,106.65832533881444,-264.2782593756193
229,0.0,0.1,52.04034244956917,-251.55267719549676
230,0.0,0.1,70.31580292094628,-253.23824782659545
231,0.0,0.1,75.59263153865707,-258.55832026838937
232,0.0,0.1,72.6399632624998,-252.26996485160763
233,0.0,0.1,145.44969725460095,-258.83964140510193
234,0.0,0.1,134.71041380132468,-256.0595722203752
235,0.0,0.1,108.00930274871068,-256.26493855913054
236,0.0,0.1,57.46206977070237,-256.7080607763553
237,0.0,0.1,72.27475017862808,-252.3548794093555
238,0.0,0.1,103.6136419306691,-256.24616502087656
239,0.0,0.1,111.82201883638602,-254.49497562853503
240,0.0,0.1,98.84769364054168,-254.0920002990695
241,0.0,0.1,104.9748533664563,-258.817301708364
242,0.0,0.1,92.93798623163691,-255.8053696459603
243,0.0,0.1,109.1039320595529,-255.09766995210077
244,0.0,0.1,117.07095457230798,-261.55049185216956
245,0.0,0.1,89.65454177890527,-249.72436368359323
246,0.0,0.1,73.38086773042332,-255.13205948456672
247,0.0,0.1,85.35922698081187,-254.42653010750126
248,0.0,0.1,106.05511548266767,-252.62332385651314
249,0.0,0.1,124.17288593768433,-260.76360817812747
250,0.0,0.1,37.09307746945203,-248.65026822681895
251,0.0,0.1,103.3595592027339,-256.80670797156637
252,0.0,0.1,91.4173377290555,-256.45014245023185
253,0.0,0.1,118.40070112821306,-261.37430355114606
254,0.0,0.1,81.10512197486185,-264.8398787540166
255,0.0,0.1,94.13688043711568,-266.01666298189457
256,0.0,0.1,86.27949749703271,-257.60825928774085
257,0.0,0.1,128.28321258089477,-257.33095400864397
258,0.0,0.1,111.66485985144084,-254.61133630534195
259,0.0,0.1,97.1739033141489,-259.98111075520245
260,0.0,0.1,131.8775833192022,-258.63038331947513
261,0.0,0.1,86.38302632949168,-251.72331639569336
262,0.0,0.1,65.24816978662159,-254.0692303291405
263,0.0,0.1,51.969332102629004,-252.85543979169555
264,0.0,0.1,106.09538908191622,-258.43140079621236
265,0.0,0.1,121.79065306863735,-257.15401671052143
266,0.0,0.1,129.37207127960153,-262.613747748029
267,0.0,0.1,81.89345781474219,-260.2131979595009
268,0.0,0.1,75.46440052303086,-255.68008650223504
269,0.0,0.1,77.00202350734942,-261.1464488611772
270,0.0,0.1,65.99166299165971,-257.0422538725339
271,0.0,0.1,66.16038252658572,-252.6730229399196
272,0.0,0.1,165.8228258400507,-255.90326670395666
273,0.0,0.1,127.09374285801208,-257.9170447356811
274,0.0,0.1,77.82200270852971,-263.21673039793416
275,0.0,0.1,64.17004804133319,-254.67679437141769
276,0.0,0.1,113.10004137642122,-253.32983055897893
277,0.0,0.1,99.30672975663879,-255.21411595856992
278,0.0,0.1,117.49564005924368,-261.6917100893682
279,0.0,0.1,156.19513714593143,-260.22121501520354
280,0.0,0.1,96.74467837516411,-254.29401662068696
281,0.0,0.1,91.47266433971795,-258.39553098386216
282,0.0,0.1,90.72420875798669,-260.3456616841852
283,0.0,0.1,79.64365383737416,-253.48316701886557
284,0.0,0.1,106.00833445607321,-254.71129183098412
285,0.0,0.1,106.11460184436189,-260.1427022844899
286,0.0,0.1,129.87746874121913,-257.1974419301355
287,0.0,0.1,80.33806961071242,-255.98910363386582
288,0.0,0.1,66.03562883994809,-259.0353224804297
289,0.0,0.1,107.5805331921993,-251.6911685582451
290,0.0,0.1,102.40525162380477,-257.7971124233916
291,0.0,0.1,103.62185064663704,-260.8726757809632
292,0.0,0.1,44.40177669725776,-252.07601730229288
293,0.0,0.1,132.51657671889373,-259.1771154450664
294,0.0,0.1,82.77937024427806,-256.66479514786414
295,0.0,0.1,110.67004488230802,-257.41522617095967
296,0.0,0.1,129.67654976291698,-257.8884118683954
297,0.0,0.1,120.59242428661864,-256.64413535889554
298,0.0,0.1,119.86452879435018,-255.93820291576688
299,0.0,0.1,103.82364032170473,-253.8500807021204
300,0.0,0.1,101.89025750495442,-255.97475891342106
301,0.0,0.1,133.51325844978155,-258.50146838516264
302,0.0,0.1,107.5819042484654,-257.65819684705946
303,0.0,0.1,54.42239375443945,-259.62281007165353
304,0.0,0.1,108.63455295750856,-257.3518665150615
305,0.0,0.1,74.08950358731516,-255.79851711619415
306,0.0,0.1,31.666475612868908,-249.8867166619059
307,0.0,0.1,98.4220479075447,-255.89245782271107
308,0.0,0.1,65.82823985018801,-254.51087485785348
