,A_G,A_L,Revenue_G_CP,Revenue_L_CP
41,0.5,0.5,94.78046958054533,-249.93434924417068
42,0.5,0.5,96.96008753020683,-239.32921515982483
43,0.5,0.5,92.53659567701901,-295.07498145171047
44,0.5,0.5,95.03576179012147,-270.9683759335773
45,0.5,0.5,94.4324771745037,-235.18501551864136
46,0.5,0.5,94.89511550774661,-284.6104151882613
47,0.5,0.5,97.80265341581885,-309.29970091288214
48,0.5,0.5,94.64284164172405,-245.62847667563236
49,0.5,0.5,96.33008971070772,-236.07246699795832
50,0.5,0.5,95.83870717745101,-244.91377333127278
51,0.5,0.5,95.56624325652942,-201.4520524117455
52,0.5,0.5,95.69099519162964,-254.7281563518262
53,0.5,0.5,97.1962824420818,-269.99214968052263
54,0.5,0.5,94.25443762461852,-252.16183428252052
55,0.5,0.5,95.78294360181326,-256.65579230506285
56,0.5,0.5,95.69243305891044,-237.38388881421758
57,0.5,0.5,95.67182209348316,-229.01591650993282
58,0.5,0.5,96.41369642571632,-282.18375587057596
59,0.5,0.5,93.64237551650777,-261.561283680398
60,0.5,0.5,95.22570196737827,-284.3112690864573
61,0.5,0.5,93.08050526715988,-220.08639601922653
62,0.5,0.5,92.76000109069795,-270.2047582313098
63,0.5,0.5,94.29529461234736,-272.71511069357734
64,0.5,0.5,92.02510225524115,-260.5901944265814
65,0.5,0.5,95.07827326375362,-224.2763084827135
66,0.5,0.5,95.12713741361553,-242.7336791056274
67,0.5,0.5,95.01387803197049,-251.8299799022656
68,0.5,0.5,96.23430955198043,-258.1498476662086
69,0.5,0.5,95.36182221727854,-257.6451670788631
70,0.5,0.5,93.2285841827741,-279.08429528407277
71,0.5,0.5,95.34639039289866,-265.10667736637106
72,0.5,0.5,94.59865429591386,-260.4482609545771
73,0.5,0.5,95.43546881015715,-277.1935547897118
74,0.5,0.5,94.71725228828836,-279.6140891744348
75,0.5,0.5,97.26285910624392,-244.55911923013855
76,0.5,0.5,94.65089882020644,-264.16430587925197
77,0.5,0.5,96.80584472896967,-213.95324960324865
78,0.5,0.5,95.4828282332054,-227.27747145294498
79,0.5,0.5,98.11394792528873,-232.3281687003257
80,0.5,0.5,93.78664087345366,-269.3905187185597
81,0.5,0.5,91.33321664457212,-239.1600711413604
82,0.5,0.5,93.56655892118118,-289.64431504740696
83,0.5,0.5,95.58872915034604,-243.17801470423814
84,0.5,0.5,95.86886504678324,-242.33611489978145
85,0.5,0.5,96.47986834221774,-303.1530987738922
86,0.5,0.5,98.48215106247478,-275.8053050635975
87,0.5,0.5,95.47860428490429,-255.4574024993936
88,0.5,0.5,96.1722961201685,-227.5636588536975
89,0.5,0.5,94.2536448826227,-258.40244160055323
90,0.5,0.5,97.14883280616434,-244.16124683798307
91,0.5,0.5,97.2903455195584,-249.87532617866654
92,0.5,0.5,93.68215495504543,-275.15051160396536
93,0.5,0.5,96.8469721878453,-251.05096416679967
94,0.5,0.5,97.41291877388255,-274.98559448923635
95,0.5,0.5,95.76908973835482,-245.02757875181803
96,0.5,0.5,95.8611652237911,-250.59814038787738
97,0.5,0.5,93.6628734937298,-240.34300976475606
98,0.5,0.5,95.56132703373869,-261.71937011458766
99,0.5,0.5,97.50588861049616,-203.36781699629535
100,0.5,0.5,97.06146096396103,-263.79734956369884
101,0.5,0.5,97.91502092228761,-255.75771523662002
102,0.5,0.5,97.09300746178161,-293.182315298737
103,0.5,0.5,95.44705981005167,-228.2718551566895
104,0.5,0.5,95.42226125151501,-294.16419901823804
105,0.5,0.5,94.47023038383144,-251.17045534317214
106,0.5,0.5,94.98285252121879,-288.8498706377648
107,0.5,0.5,92.87940394760513,-283.57570955436125
108,0.5,0.5,95.55789513181222,-235.09722554312611
109,0.5,0.5,96.7834938575563,-272.92742851145437
110,0.5,0.5,95.12427956478345,-235.1600067746307
111,0.5,0.5,95.34683030150151,-230.39101137290456
112,0.5,0.5,97.03639683382184,-293.07432685210597
113,0.5,0.5,94.73598678011098,-258.1813815071616
114,0.5,0.5,94.48744908022412,-257.04443730201393
115,0.5,0.5,97.50781564739331,-252.29903825984084
116,0.5,0.5,95.46131050545793,-239.20724204468172
117,0.5,0.5,96.95764458055322,-272.732717083477
118,0.5,0.5,95.94209957860167,-236.49104675340777
119,0.5,0.5,97.06392587074647,-214.1902396712624
120,0.5,0.5,96.74328050450433,-248.10375794525922
121,0.5,0.5,96.51773897534301,-216.76561256803322
122,0.5,0.5,96.8453327298183,-264.78292878533694
123,0.5,0.5,94.49199261962607,-280.61744453090984
124,0.5,0.5,97.11923023548005,-249.61116969631928
125,0.5,0.5,96.17417255467325,-281.1394038339191
126,0.5,0.5,97.239636172611,-228.45249028804886
127,0.5,0.5,95.54531515647149,-291.54085044139475
128,0.5,0.5,94.8517045656022,-259.40326226457796
129,0.5,0.5,94.06355245213538,-253.67773857599784
130,0.5,0.5,96.83510252487945,-233.40160169508704
131,0.5,0.5,96.21361717854735,-237.60758251881407
132,0.5,0.5,97.53770427399053,-307.8274474093977
133,0.5,0.5,95.69916495842637,-219.50429434147995
134,0.5,0.5,96.78257078537222,-243.56946452202845
135,0.5,0.5,94.60348981989416,-267.1967533067967
136,0.5,0.5,94.76530918152424,-230.61696016362617
137,0.5,0.5,93.76026062823733,-250.34799211468922
138,0.5,0.5,93.01525284631583,-229.5797239828071
139,0.5,0.5,93.95637175002351,-245.64012630827568
140,0.5,0.5,96.00306574815734,-278.73252910658164
141,0.5,0.5,95.33992194582288,-240.81720234132695
142,0.5,0.5,97.08279445048748,-256.27257776831766
143,0.5,0.5,96.58661337809833,-241.13296126919636
144,0.5,0.5,96.80813364227993,-263.24633548682675
145,0.5,0.5,95.86596942065268,-255.93602439108687
146,0.5,0.5,96.94001330415303,-270.25392005098655
147,0.5,0.5,95.17939248909668,-245.75219204021087
148,0.5,0.5,97.1810807061519,-264.0926599146688
149,0.5,0.5,93.47718781258442,-257.6466409270902
150,0.5,0.5,94.688981646993,-246.75869904151855
151,0.5,0.5,93.4908659991169,-216.56674749890828
152,0.5,0.5,92.22329870562804,-302.5410083249208
153,0.5,0.5,96.32963736673335,-252.92052803778813
154,0.5,0.5,95.83214141843787,-220.88019731060965
155,0.5,0.5,95.53110584110154,-229.79167212655705
156,0.5,0.5,94.52182052751485,-254.09712746304348
157,0.5,0.5,92.74497114819133,-259.75405403659107
158,0.5,0.5,95.42777191344832,-276.2803316825945
159,0.5,0.5,96.52433270187127,-288.89849576646253
160,0.5,0.5,98.99311382428525,-267.2512054390206
161,0.5,0.5,95.84171538951216,-251.0178347726674
162,0.5,0.5,92.66882399996115,-266.12817976356905
163,0.5,0.5,98.64388277893933,-235.9110898185742
164,0.5,0.5,96.88508988790646,-243.8974253584021
165,0.5,0.5,97.233285594809,-269.93344100240313
166,0.5,0.5,95.46452859971009,-283.23678824885917
167,0.5,0.5,95.34769535392657,-218.07546736117004
168,0.5,0.5,93.50733056307423,-227.04840005225208
