,Price_Change,Avg_G_Price,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Factor,Production_Change,Avg_Production,Load_Change,Avg_Load,CaptureRate_Change,Avg_G_Capture_Rate,Load_CaptureRate_Change,Avg_Load_Capture_Rate
10,1.2,0.10260993142645797,102.47843407260521,0.1,0.1,12.505953089644528,114.31938126122142,-308.66838323048137,112.36208876208902,-310.62567572766636,3.8309939233483274,Price Sensitivity (Expected),,,,,,,,
11,1.3,,,0.1,0.1,,,,,,,Price Sensitivity (Expected),,,,,,,,
12,1.4,,,0.1,0.1,,,,,,,Price Sensitivity (Expected),,,,,,,,
13,0.6,0.08526004654766038,85.16383517819634,0.1,0.1,12.315946912334153,95.20338649723732,-256.38135432817285,94.04913960625927,-257.5339126256545,1.3303368315391717,Price Sensitivity (Expected),,,,,,,,
14,0.7,0.08536643067954093,85.25793536687952,0.1,0.1,12.260946741555154,95.23395431433781,-256.7401884497765,93.87511058488585,-258.0995612266121,1.847175173790736,Price Sensitivity (Expected),,,,,,,,
15,0.8,0.08547281481142145,85.361032971466,0.1,0.1,12.4015405966628,95.25857050633874,-257.102627079001,93.6958713342922,-258.66532625370195,2.4420287064629385,Price Sensitivity (Expected),,,,,,,,
16,0.85,0.08552600687736173,85.4099667670129,0.1,0.1,12.415970381722454,95.26982995952689,-257.28428033481106,93.60464246338417,-258.94946783041405,2.772849396411316,Price Sensitivity (Expected),,,,,,,,
17,0.9,0.085579198943302,85.44384593748482,0.1,0.1,12.177396908556604,95.2802661878737,-257.4661737882217,93.51253625892396,-259.2339037190332,3.1248691049958035,Price Sensitivity (Expected),,,,,,,,
18,0.95,0.08563239100924226,85.47577271169283,0.1,0.1,11.942372768420139,95.28959087586534,-257.6490035108406,93.41996602485513,-259.5186283636744,3.4954970869243787,Price Sensitivity (Expected),,,,,,,,
19,1.0,0.08568558307518252,85.52103036125168,0.1,0.1,11.921044869120504,95.29883193292164,-257.83189629358,93.32715418383083,-259.8035740497056,3.887513160130239,Price Sensitivity (Expected),,,,,,,,
20,1.05,0.08573877514112278,85.58040636256348,0.1,0.1,12.091813365802798,95.30764691629297,-258.0149711932675,93.23380677787841,-260.0888113335349,4.300812923541816,Price Sensitivity (Expected),,,,,,,,
21,1.1,0.08579196720706306,85.638300451289,0.1,0.1,12.23290322883636,95.31551970073794,-258.1980499597375,93.13951990311705,-260.3740497581971,4.7349751210711855,Price Sensitivity (Expected),,,,,,,,
22,1.15,0.08584515927300333,85.68636984177094,0.1,0.1,12.241600400052324,95.32271008754107,-258.38132359033295,93.04474549267624,-260.6592881828592,5.1891226901304695,Price Sensitivity (Expected),,,,,,,,
23,1.2,0.0858983513389436,85.72438814696834,0.1,0.1,12.131566435717975,95.32969766704684,-258.5645596033349,92.94971738052772,-260.94453989113424,5.664306167266588,Price Sensitivity (Expected),,,,,,,,
24,1.3,0.08600473547082413,85.82449624279505,0.1,0.1,12.199526067453712,95.34295618481256,-258.9315489832281,92.75944551773135,-261.51505965644856,6.674527382783261,Price Sensitivity (Expected),,,,,,,,
25,1.4,0.08611111960270466,85.89174522939105,0.1,0.1,11.937509101737673,95.35500507072449,-259.298617414911,92.56804306349107,-262.0855794217629,7.767157228699136,Price Sensitivity (Expected),,,,,,,,
26,,,85.76368528585627,0.1,0.1,9.618371400495311,57.176776421862975,-258.60288535342886,55.976087727618626,-259.8035740497056,1.4416533429264884,Production (Expected),0.6,56.80700928544175,,,,,,
27,,,85.66632531030731,0.1,0.1,9.848503423218489,66.71035065930913,-258.4078145366067,65.31459113858573,-259.8035740497056,1.9481446290481021,Production (Expected),0.7,66.27048774565624,,,,,,
28,,,85.64434345719816,0.1,0.1,10.990539607264862,76.24183663552488,-258.21414805009886,74.65258208470141,-259.8035740497056,2.5260025030721853,Production (Expected),0.8,75.73396620587074,,,,,,
