,A_G,A_L,Revenue_G_CP,Revenue_L_CP
44,0.5,0.5,92.19266717991884,-270.8991357193392
45,0.5,0.5,93.89480204681675,-237.04177184894883
46,0.5,0.5,95.18630133110496,-248.58304006887366
47,0.5,0.5,89.55402813789678,-280.6828642199179
48,0.5,0.5,103.29966488751165,-249.23153860674321
49,0.5,0.5,102.63485937674326,-232.6527612970999
50,0.5,0.5,92.50913803173013,-271.43507673896875
51,0.5,0.5,101.54369214364532,-272.7562962487382
52,0.5,0.5,97.76533032886968,-259.64888740131096
53,0.5,0.5,101.46666346531437,-256.1844237820802
54,0.5,0.5,99.1763178143464,-247.3834003117929
55,0.5,0.5,98.01456616125103,-227.5514820675535
56,0.5,0.5,99.64312975772623,-281.4383755820101
57,0.5,0.5,99.23684876712792,-257.59961653864434
58,0.5,0.5,94.30334396776155,-257.4848205028367
59,0.5,0.5,88.21142467602348,-259.30409329055743
60,0.5,0.5,95.1520755712075,-240.34533630034258
61,0.5,0.5,91.20902715686626,-256.2391710859947
62,0.5,0.5,90.89934730003894,-251.07607817926706
63,0.5,0.5,99.73751617637309,-255.55341740252834
64,0.5,0.5,104.35448335911487,-241.2571845619714
65,0.5,0.5,88.68871999910084,-239.3492849794275
66,0.5,0.5,102.2947829802452,-268.4795697353634
67,0.5,0.5,102.94667448813243,-238.0162432823987
68,0.5,0.5,106.57251232473335,-261.7008800906823
69,0.5,0.5,92.83185593754636,-243.86583777413196
70,0.5,0.5,93.80412606972095,-249.73926146230244
71,0.5,0.5,87.04017387470954,-268.53934556388094
72,0.5,0.5,95.23394757120096,-246.89252714317524
73,0.5,0.5,97.02664066456029,-259.7432928361027
74,0.5,0.5,92.41933718636592,-277.81442433280563
75,0.5,0.5,89.91337209556681,-249.8420530220886
76,0.5,0.5,94.67218176190437,-263.17394081819043
77,0.5,0.5,105.24413609119415,-269.5005931050989
78,0.5,0.5,103.14317302137202,-247.37674195547245
79,0.5,0.5,93.25159682311705,-271.955378868103
80,0.5,0.5,97.3471922177457,-242.74069053681583
81,0.5,0.5,97.29062616457597,-257.5320351827348
82,0.5,0.5,97.62476489697191,-265.78486875292555
83,0.5,0.5,96.60498087834141,-282.52523786969425
84,0.5,0.5,95.31663389399449,-243.22220730985126
85,0.5,0.5,105.9333665144693,-284.13388687258697
86,0.5,0.5,97.33177428114158,-269.6563611051355
87,0.5,0.5,91.52962397168578,-276.356352533325
88,0.5,0.5,92.8986401087047,-263.9753371668231
89,0.5,0.5,88.41763460188439,-279.1172751463327
90,0.5,0.5,104.02715098388055,-229.92883192997633
91,0.5,0.5,97.50336053094527,-249.44982043200065
92,0.5,0.5,93.27900066385197,-234.26553493370835
93,0.5,0.5,94.3679316658261,-251.73693323197926
94,0.5,0.5,97.63679470499248,-259.03557513057547
95,0.5,0.5,97.74285932874051,-254.24214795151565
96,0.5,0.5,99.98505387111548,-254.0193859311255
97,0.5,0.5,87.3888301360737,-267.1320829630326
98,0.5,0.5,86.50569406216127,-247.29915718923652
99,0.5,0.5,89.70901940047804,-269.18022805361886
100,0.5,0.5,94.2422556074867,-266.161072173254
101,0.5,0.5,92.6999375392599,-264.9957164478106
102,0.5,0.5,103.60210277037935,-277.4693333358827
103,0.5,0.5,95.1739764603228,-254.13562856432043
104,0.5,0.5,95.22786549265194,-229.20459024818592
105,0.5,0.5,100.92321523503882,-264.2376904533251
106,0.5,0.5,96.49816790113286,-272.8150391100379
107,0.5,0.5,101.2577659589149,-237.11146280768057
108,0.5,0.5,94.95166359449635,-234.02141875401355
109,0.5,0.5,92.19267738481894,-258.2692243503654
110,0.5,0.5,84.00738744995945,-261.5989920120763
111,0.5,0.5,100.52555188382793,-251.5138298846608
112,0.5,0.5,99.76865038930742,-230.3104758380357
113,0.5,0.5,94.30854339695009,-232.95214174239823
114,0.5,0.5,100.55954298262314,-239.21932440347675
115,0.5,0.5,96.24851063999839,-230.4811515954483
116,0.5,0.5,99.2935567638277,-259.99652984470714
117,0.5,0.5,105.26614860622182,-234.07364128151852
118,0.5,0.5,87.64873510378152,-263.2019024597889
119,0.5,0.5,90.9256551366982,-267.3682567541647
120,0.5,0.5,104.89973967472352,-257.0120787438368
121,0.5,0.5,90.18177754287552,-274.54241042084226
