,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma,Factor
40,0.05,0.05,0.1,0.1,53.04685268408136,30.0,100.03758957700961,-270.55073728662336,98.08632377820584,-272.50879784570475,3.8206966009221115,1.0,Price Bias
41,0.05,0.1,0.1,0.1,54.30762891226676,29.999999960839236,102.41520499271869,-280.87025079457584,98.08632377820584,-285.21420605080317,18.80446630536684,0.9999999986946412,Price Bias
42,0.1,-0.1,0.1,0.1,,,,,,,,,Price Bias
43,0.1,-0.05,0.1,0.1,,,,,,,,,Price Bias
44,0.1,-0.01,0.1,0.1,,,,,,,,,Price Bias
45,0.1,0.0,0.1,0.1,,,,,,,,,Price Bias
46,0.1,0.01,0.1,0.1,,,,,,,,,Price Bias
47,0.1,0.05,0.1,0.1,,,,,,,,,Price Bias
48,0.1,0.1,0.1,0.1,55.569413744703446,30.0,104.7947224755121,-283.2580543363443,102.8453588977809,-285.21420605080317,3.8132509046825995,1.0,Price Bias
49,-0.1,-0.1,0.1,0.1,50.53572771903132,30.0,85.73714784828259,-258.0496185843719,83.98992994373971,-259.8035740497056,3.064542392801908,1.0,Production Bias
50,-0.1,-0.05,0.1,0.1,50.53430953132071,30.0,85.73474180062266,-257.95470790879205,83.98992994373971,-259.8035740497056,3.2259235644554174,1.0,Production Bias
51,-0.1,-0.01,0.1,0.1,50.53324634468253,30.0,85.73293803536384,-257.8788135798358,83.98992994373971,-259.8035740497056,3.3548730734213232,1.0,Production Bias
52,-0.1,0.0,0.1,0.1,50.532982747487935,30.0,85.73249082558446,-257.8598673333108,83.98992994373971,-259.8035740497056,3.3870272897685663,1.0,Production Bias
53,-0.1,0.01,0.1,0.1,50.532724370901946,30.0,85.73205247290699,-257.84092108689816,83.98992994373971,-259.8035740497056,3.4191819434437676,1.0,Production Bias
54,-0.1,0.05,0.1,0.1,50.53152712167512,29.999999937190616,85.73002126166324,-257.7654044395528,83.98992994373971,-259.8035740497056,3.546601243082482,0.9999999979063539,Production Bias
55,-0.1,0.1,0.1,0.1,50.5298965143615,30.0,85.72725483042225,-257.6717345525893,83.98992994373971,-259.8035740497056,3.703697812752927,1.0,Production Bias
56,-0.05,-0.1,0.1,0.1,50.53117406162571,30.0,90.51142904543592,-258.0418632172863,88.65859441798861,-259.8035740497056,3.264158833855574,1.0,Production Bias
57,-0.05,-0.05,0.1,0.1,50.52975587391535,30.0,90.50888878788791,-257.94652160731914,88.65859441798861,-259.8035740497056,3.4360936787554435,1.0,Production Bias
58,-0.05,-0.01,0.1,0.1,50.52869268728757,30.0,90.50698440820926,-257.87028241849237,88.65859441798861,-259.8035740497056,3.5734768993119315,1.0,Production Bias
59,-0.05,0.0,0.1,0.1,50.5284290900856,30.0,90.50651225295292,-257.851249985076,88.65859441798861,-259.8035740497056,3.6077344586591114,1.0,Production Bias
60,-0.05,0.01,0.1,0.1,50.52817071349656,30.0,90.50604944885741,-257.8322175517801,88.65859441798861,-259.8035740497056,3.641992479728389,1.0,Production Bias
61,-0.05,0.05,0.1,0.1,50.5269734644576,29.999999936955728,90.50390493653687,-257.7563554698643,88.65859441798861,-259.8035740497056,3.777753979148659,0.9999999978985242,Production Bias
62,-0.05,0.1,0.1,0.1,50.52534285906038,30.0,90.50098419654724,-257.6622546441423,88.65859441798861,-259.8035740497056,3.945144985439073,1.0,Production Bias
