,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
25,0.0,0.01,0.5,0.5,90.02054100890577,14.96317630530093,97.7533947380413,-273.4418287413763,92.86215913323164,-278.3330643319266,23.924185672011834
26,0.0,0.02,0.5,0.5,90.4784318838052,15.874566253822115,98.92626926819679,-274.9093591658049,92.86215913323164,-280.9734693164046,36.773431823796514
27,0.0,0.05,0.5,0.5,91.74577219290079,18.8151829802375,102.93612069701902,-278.8207226921729,92.86215913323164,-288.89468426983854,101.48470172847425
28,0.01,-0.05,0.5,0.5,,,,,,,
29,0.01,-0.02,0.5,0.5,88.62587000214273,7.972672745054625,95.19433228325022,-269.03160272481625,93.81618699780952,-270.41184937849266,1.9021804185094384
30,0.01,-0.01,0.5,0.5,89.23133083320828,9.65226836714825,95.87526300644035,-270.99618140377845,93.81618699780952,-273.05225436297064,4.233610502267229
31,0.01,0.0,0.5,0.5,89.80959643079444,11.292641354628211,96.66371078802409,-272.8451355432543,93.81618699780952,-275.6926593474486,8.108391775645664
32,0.01,0.01,0.5,0.5,90.38678395365503,13.396826913671138,97.61725401940703,-274.53199732161625,93.81618699780952,-278.3330643319266,14.448110459772938
33,0.01,0.02,0.5,0.5,90.8916757068089,14.957335664257895,98.70207842812445,-276.0875779073267,93.81618699780952,-280.9734693164046,23.871934965062966
34,0.01,0.05,0.5,0.5,92.20830144558145,18.051702081183645,102.48404412476222,-280.22682712177715,93.81618699780952,-288.89468426983854,75.13174735623177
35,0.02,-0.05,0.5,0.5,,,,,,,
36,0.02,-0.02,0.5,0.5,,,,,,,
37,0.02,-0.01,0.5,0.5,89.50461899680275,7.978730762424625,96.14210627488956,-271.6795931803314,94.77007683887848,-273.05225436297064,1.8833315482508437
38,0.02,0.0,0.5,0.5,90.10024537668771,9.589935719421764,96.82134466215024,-273.64182418852704,94.77007683887848,-275.6926593474486,4.206812172330271
39,0.02,0.01,0.5,0.5,90.6789583777054,11.238413848568749,97.61138557085133,-275.4917556069503,94.77007683887848,-278.3330643319266,8.073035290505874
40,0.02,0.02,0.5,0.5,91.2629072141088,13.466993315305936,98.56525125149061,-277.17829490874607,94.77007683887848,-280.9734693164046,14.403348803346006
41,0.02,0.05,0.5,0.5,92.65747082702562,17.276144762694063,102.08481268527504,-281.5799484088691,94.77007683887848,-288.89468426983854,53.50536060915562
42,0.05,-0.05,0.5,0.5,,,,,,,
43,0.05,-0.02,0.5,0.5,,,,,,,
44,0.05,-0.01,0.5,0.5,,,,,,,
45,0.05,0.0,0.5,0.5,,,,,,,
46,0.05,0.01,0.5,0.5,,,,,,,
47,0.05,0.02,0.5,0.5,92.13603949479798,7.9597892877118905,98.98396110188148,-279.6226014422334,97.6311056110265,-280.9734693164046,1.8275290209920614
48,0.05,0.05,0.5,0.5,93.8858658766888,13.580260235200436,101.40812353212752,-285.1176663542625,97.6311056110265,-288.89468426983854,14.265864355450319
