,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,NashProductLog,Nash_Product,ThreatPoint_G,ThreatPoint_L
21,0.5,0.0,82.53513195874588,6.005782686317808,89.50604924125628,-252.57909920948296,0.9210876992864818,2.5120212281991865,86.99401795545754,-255.09112043605103
22,0.5,0.1,83.47178527520747,6.516677845620941,90.29831545276062,-256.2633924458623,1.1951839897291694,3.304165647120974,86.99401795545754,-259.5674262480625
23,0.5,0.25,84.95291550389754,7.394081137964291,91.62293965410507,-261.6529632684047,1.5323199439243804,4.628903171013262,86.99401795545754,-266.2818849660796
24,0.5,0.5,88.42550268826973,12.074885226463548,94.52834699024703,-269.9383204683487,2.0194649136701788,7.534292358024434,86.99401795545754,-277.47264949610815
25,0.5,0.75,90.69841563170782,15.508648864275461,98.81769541323035,-276.79174761525456,2.47212933622252,11.847647636916994,86.99401795545754,-288.6634140261367
26,0.5,0.9,91.73446716661361,16.02707452363311,101.62839746672023,-280.74349325741485,2.6833695181963906,14.634320923254307,86.99401795545754,-295.37787274415393
27,0.5,1.0,92.41348711141167,16.37341446300769,103.5704115409497,-283.3824586516339,2.8048122876679105,16.52397386125685,86.99401795545754,-299.8541785561653
28,0.75,0.0,81.3414473513034,6.0057826854953715,86.33744729314702,-251.3230885969765,1.3265528073947124,3.7680318422990293,82.56940036367392,-255.09112043605103
29,0.75,0.1,82.27252326358291,6.3440927437569155,87.11927937555407,-255.01754731603558,1.5150882361613769,4.549822568012918,82.56940036367392,-259.5674262480625
30,0.75,0.25,83.73082832541596,6.924260493707762,88.36695648686816,-260.46162842685516,1.7593904051812894,5.808895242431316,82.56940036367392,-266.2818849660796
31,0.75,0.5,86.5404042389416,8.349560170977215,90.75046697119062,-269.321217324876,2.10000808628876,8.166235946842612,82.56940036367392,-277.47264949610815
32,0.75,0.75,90.1770034467893,12.074885232394248,93.87089391443564,-277.3619204830633,2.424930022639408,11.301438546767923,82.56940036367392,-288.6634140261367
33,0.75,0.9,91.832206625012,14.169713708924455,96.30710800471121,-281.6401650839788,2.620140432731975,13.73765266571649,82.56940036367392,-295.37787274415393
34,0.75,1.0,92.68042132497985,14.987132719583258,98.0683443268247,-284.3552345381122,2.740767889608101,15.498881958410017,82.56940036367392,-299.8541785561653
35,0.9,0.0,80.6252365874536,6.005782685488653,84.43628612472894,-250.56948222991915,1.5088743641888187,4.521638210759521,79.91462980860375,-255.09112043605103
36,0.9,0.1,81.57683280181112,6.316180827574,85.21440209064134,-254.26765408310035,1.667648911186837,5.299693089219023,79.91462980860375,-259.5674262480625
37,0.9,0.25,83.01518893698793,6.757828380469769,86.46005095721047,-259.75331605072927,1.877476753897962,6.536989601389065,79.91462980860375,-266.2818849660796
38,0.9,0.5,85.50370239330738,7.5884304893886805,88.72057967557176,-268.6666996522867,2.1754236107166403,8.805914612005374,79.91462980860375,-277.47264949610815
39,0.9,0.75,89.10380975233944,10.039187850300156,91.41726149910474,-277.1607823354605,2.4425718507030982,11.502585666977682,79.91462980860375,-288.6634140261367
40,0.9,0.9,91.21094600495724,12.074892659473077,93.44054053655805,-281.7801989417352,2.607252946635281,13.561744797752338,79.91462980860375,-295.37787274415393
41,0.9,1.0,92.43545454052044,13.428803534232548,95.05001185271401,-284.7109713631321,2.717293622945621,15.139294112992001,79.91462980860375,-299.8541785561653
42,1.0,0.0,80.14776274525707,6.0057826856469765,83.16884534603825,-250.0670779854683,1.6142348798467938,5.024042456400215,78.14478277189029,-255.09112043605103
43,1.0,0.1,81.08286671815223,6.281010124500053,83.93093921730981,-253.75350797126714,1.7578614952806937,5.800020750861377,78.14478277189029,-259.5674262480625
44,1.0,0.25,82.53208000919258,6.688089543023954,85.17245042876507,-259.2542173238975,1.9498508803949386,7.027639543616548,78.14478277189029,-266.2818849660796
45,1.0,0.5,84.9833298394549,7.3940811379708995,87.40262617667507,-268.214806108248,2.225467124484396,9.257806342027177,78.14478277189029,-277.47264949610815
46,1.0,0.75,88.20630352708801,9.000327251395998,89.93882589653478,-276.8693709972466,2.46759057822065,11.79399587967645,78.14478277189029,-288.6634140261367
47,1.0,0.9,90.56497766901191,10.85661833756433,91.78716796598157,-281.7354875736074,2.6131775022267507,13.642330590512774,78.14478277189029,-295.37787274415393
48,1.0,1.0,91.93069556132697,12.074892659473104,93.21806920860854,-284.7901488480247,2.712617766091554,15.068670183215701,78.14478277189029,-299.8541785561653
