,A_G,A_L,tau_G,tau_L,StrikePrice,ContractAmount,Utility_G,Utility_L,NashProductLog,Nash_Product,ThreatPoint_G,ThreatPoint_L
32,0.9,0.1,0.5,0.5,79.92068317781622,6.35133541792897,83.40417213468275,-252.54015341958632,1.9837643443959392,7.270058544458941,76.13403950787567,-259.8102859788999
33,0.9,0.1,0.25,0.75,76.66847137772973,6.35150575921944,79.7849689468986,-248.920950209653,2.114583399395605,8.28613303893293,76.13403950787567,-259.8102859788999
34,0.9,0.1,0.0,1.0,73.3748252847809,6.345311084621537,76.1340323369392,-245.27001440519894,14.540272762667868,2064240.1749947097,76.13403950787567,-259.8102859788999
35,0.9,0.5,1.0,0.0,93.97467711172888,7.663522785320937,99.85503439688786,-282.79900426364054,23.72100068094238,20040091538.506367,76.13403950787567,-282.79899488642144
36,0.9,0.5,0.75,0.25,89.55928168915585,7.663522785320937,93.92670730046174,-276.8706771672149,2.6040249587313546,13.51803822967711,76.13403950787567,-282.79899488642144
37,0.9,0.5,0.5,0.5,85.11733582203333,7.663522785320937,87.96273227111435,-270.906702137868,2.4732093460730518,11.860450125232818,76.13403950787567,-282.79899488642144
38,0.9,0.5,0.25,0.75,80.72426681096395,7.663538656156449,82.06434522220593,-265.00831510939327,2.60401497340761,13.517903248362911,76.13403950787567,-282.79899488642144
39,0.9,0.5,0.0,1.0,76.32204591234319,7.669943662823918,76.13402612204631,-259.07800615606976,23.720998145080273,20040040719.66201,76.13403950787567,-282.79899488642144
40,0.9,0.9,1.0,0.0,101.29577233804304,12.13320061708646,112.1522391095729,-305.787714929035,36.018213972725476,4390475685464620.0,76.13403950787567,-305.78770379394297
41,0.9,0.9,0.75,0.25,97.03274396242783,12.138067310869273,103.08727213226267,-296.72273828240566,3.0216816892453657,20.52578066078428,76.13403950787567,-305.78770379394297
42,0.9,0.9,0.5,0.5,92.84618453049993,12.1380673108693,94.18417925172889,-287.819645401872,2.890874537281382,18.009052304399244,76.13403950787567,-305.78770379394297
43,0.9,0.9,0.25,0.75,88.62102744918346,12.1380673108693,85.19900501941602,-278.83447116955904,3.0216816892453044,20.525780660783024,76.13403950787567,-305.78770379394297
44,0.9,0.9,0.0,1.0,84.3583453274746,12.1380673108693,76.13403043423781,-269.7694965843808,36.01820863894224,4390452267681465.5,76.13403950787567,-305.78770379394297
