,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,NashProductLog,Nash_Product,ThreatPoint_G,ThreatPoint_L,Gamma
33,0.75,0.9,51.8016417090814,30.0,95.37912070941769,-289.27833495950625,2.786660650502201,16.22674246243099,79.36325816052863,-305.71877175903205,1.0
34,0.75,1.0,52.36117275417439,30.0,96.40935020272804,-293.96291796284225,2.848924042722893,17.269190929197965,79.36325816052863,-311.45817147269787,1.0
35,0.9,0.0,45.99765309314258,29.889430182178167,84.25246267022357,-245.67930640927995,2.1098633103619355,8.247113912562591,76.14082061668965,-254.06417433603977,0.9963143394059389
36,0.9,0.1,46.57280420774531,29.99999939811269,85.27227836297499,-250.36561959334773,2.228231306750195,9.283432006825594,76.14082061668965,-259.8035740497056,0.9999999799370897
37,0.9,0.25,47.41007948768328,29.999999833062393,86.80528385674144,-257.39282863368857,2.38330637834059,10.840687086221667,76.14082061668965,-268.4126736202043,0.9999999944354131
38,0.9,0.5,48.80640641392571,29.999999908931745,89.36188269159464,-269.1048437507373,2.598006128299013,13.436919813675193,76.14082061668965,-282.76117290436883,0.9999999969643915
39,0.9,0.75,50.203819704643394,30.0,91.92047061305013,-280.81685887582404,2.7747216207186605,16.034162795598178,76.14082061668965,-297.10967218853335,1.0
40,0.9,0.9,51.04278966184528,30.0,93.45657909543071,-287.84406798877615,2.867500747552917,17.592993875807533,76.14082061668965,-305.71877175903205,1.0
41,0.9,1.0,51.60232069249167,30.0,94.48105006122982,-292.52887419036404,2.9249028367090757,18.632415575129436,76.14082061668965,-311.45817147269787,1.0
42,1.0,0.0,45.48523871666811,29.89065516938439,83.00546484468336,-244.712653197319,2.2170987554844457,9.180656860320966,73.99252892079701,-254.06417433603977,0.996355172312813
43,1.0,0.1,46.062145612771644,29.999999236183204,84.02125307298793,-249.39924856195813,2.3238365106823737,10.214788372038852,73.99252892079701,-259.8035740497056,0.9999999745394401
44,1.0,0.25,46.89942092826607,29.999999812586843,85.54851393982986,-256.4266829326093,2.4654700047154736,11.769012343568447,73.99252892079701,-268.4126736202043,0.9999999937528947
