,A_G,A_L,tau_G,tau_L,Revenue_G,Revenue_L,CR_L_Revenue,CR_G_Revenue
94,0.5,0.5,1.0,0.0,118.348650152214,-266.55582436911374,-175.68466958928173,27.477495372382002
95,0.5,0.5,1.0,0.0,109.32703285344392,-273.7873308941242,-182.91617611429214,18.4558780736119
96,0.5,0.5,1.0,0.0,112.57913037843963,-270.0700632495086,-179.1989084696766,21.707975598607618
97,0.5,0.5,1.0,0.0,109.73117504362888,-268.0039701019966,-177.1328153221646,18.86002026379687
98,0.5,0.5,1.0,0.0,101.13403250980289,-267.0478542782372,-176.17669949840516,10.262877729970882
99,0.5,0.5,1.0,0.0,100.31071368339153,-268.38129885597965,-177.51014407614764,9.43955890355953
100,0.5,0.5,1.0,0.0,104.81365113157275,-274.30769838805134,-183.43654360821932,13.942496351740758
101,0.5,0.5,1.0,0.0,98.99427041196688,-274.00035829541235,-183.12920351558034,8.12311563213487
102,0.5,0.5,1.0,0.0,123.9172343325516,-267.8490518927245,-176.9778971128925,33.04607955271959
103,0.5,0.5,1.0,0.0,111.92260554268418,-271.47002267876115,-180.59886789892917,21.051450762852184
104,0.5,0.5,1.0,0.0,106.53023683327504,-268.7876801170331,-177.9165253372011,15.659082053443015
105,0.5,0.5,1.0,0.0,108.55437535553837,-275.39629862267077,-184.52514384283876,17.683220575706343
106,0.5,0.5,1.0,0.0,112.72348891380871,-269.418057296209,-178.546902516377,21.85233413397671
107,0.5,0.5,1.0,0.0,113.26903661439445,-271.8046111264741,-180.93345634664206,22.397881834562426
108,0.5,0.5,1.0,0.0,105.26310549337485,-267.99350029774615,-177.12234551791417,14.391950713542855
109,0.5,0.5,1.0,0.0,104.17399811644688,-268.3194365714949,-177.44828179166294,13.30284333661487
110,0.5,0.5,1.0,0.0,94.29409074209612,-271.0283156406461,-180.1571608608141,3.422935962264077
111,0.5,0.5,1.0,0.0,111.25693107841738,-273.8913295893581,-183.02017480952617,20.385776298585384
112,0.5,0.5,1.0,0.0,111.76375313027252,-272.40453637595704,-181.53338159612503,20.892598350440508
113,0.5,0.5,1.0,0.0,101.24428283436947,-273.25122663769395,-182.38007185786194,10.37312805453746
114,0.5,0.5,1.0,0.0,104.28529607856213,-275.5328926485449,-184.66173786871286,13.41414129873013
115,0.5,0.5,1.0,0.0,107.24811696041532,-270.56416864481855,-179.69301386498648,16.37696218058329
116,0.5,0.5,1.0,0.0,105.67596571088166,-271.2323090540136,-180.3611542741816,14.804810931049644
117,0.5,0.5,1.0,0.0,113.89002690498552,-274.74147781169097,-183.870323031859,23.01887212515352
118,0.5,0.5,1.0,0.0,109.87846625769737,-264.4868694928044,-173.61571471297233,19.007311477865343
119,0.5,0.5,1.0,0.0,101.31188506297163,-274.8120570667477,-183.94090228691564,10.440730283139615
120,0.5,0.5,1.0,0.0,124.83689471203441,-271.2021214516359,-180.33096667180385,33.965739932202396
121,0.5,0.5,1.0,0.0,101.46078385772094,-275.4766897654063,-184.6055349855743,10.589629077888915
122,0.5,0.5,1.0,0.0,105.45951312463141,-264.9126327059356,-174.0414779261036,14.588358344799403
123,0.5,0.5,1.0,0.0,100.65671127251211,-275.48924401299365,-184.61808923316164,9.785556492680115
124,0.5,0.5,1.0,0.0,116.77587701333351,-268.8236207379965,-177.95246595816448,25.904722233501488
125,0.5,0.5,1.0,0.0,106.46701959427843,-271.7369042700421,-180.86574949021008,15.5958648144464
126,0.5,0.5,1.0,0.0,97.42807054943106,-272.0832239260561,-181.2120691462241,6.556915769599044
127,0.5,0.5,1.0,0.0,118.41843170295991,-268.98599879080143,-178.11484401096942,27.547276923127896
128,0.5,0.5,1.0,0.0,99.59936229311964,-272.0860964242136,-181.2149416443816,8.728207513287629
129,0.5,0.5,1.0,0.0,100.15005921401125,-275.5762678252195,-184.70511304538746,9.278904434179225
130,0.5,0.5,1.0,0.0,109.06583366963213,-268.22978067344644,-177.3586258936144,18.194678889800116
131,0.5,0.5,1.0,0.0,109.90717647511136,-267.32447950152465,-176.45332472169264,19.03602169527933
132,0.5,0.5,1.0,0.0,100.13041542565627,-270.70110401730426,-179.82994923747222,9.259260645824241
133,0.5,0.5,1.0,0.0,101.40151793650726,-274.905623772549,-184.03446899271702,10.530363156675264
134,0.5,0.5,1.0,0.0,102.43582395519415,-267.5575013122305,-176.6863465323985,11.564669175362141
135,0.5,0.5,1.0,0.0,112.41062486543787,-262.2814245519651,-171.41026977213303,21.539470085605856
136,0.5,0.5,1.0,0.0,106.58098326039298,-271.7074266512994,-180.83627187146737,15.709828480560944
137,0.5,0.5,1.0,0.0,114.38795091041094,-270.8990361039644,-180.0278813241324,23.516796130578925
138,0.5,0.5,1.0,0.0,102.85569876447614,-272.95321414973245,-182.08205936990043,11.984543984644148
139,0.5,0.5,1.0,0.0,104.79092038617102,-271.8833157932788,-181.0121610134468,13.919765606338999
140,0.5,0.5,1.0,0.0,110.67339033133507,-267.6310749374116,-176.7599201575796,19.80223555150306
141,0.5,0.5,1.0,0.0,107.46840408254542,-270.4291755528398,-179.5580207730078,16.597249302713408
142,0.5,0.5,1.0,0.0,105.96582769297109,-265.0760637516187,-174.2049089717867,15.094672913139078
143,0.5,0.5,1.0,0.0,114.49475083036339,-272.0121227878287,-181.14096800799666,23.62359605053139
144,0.5,0.5,1.0,0.0,118.86188624561947,-267.85431606718686,-176.98316128735485,27.990731465787462
145,0.5,0.5,1.0,0.0,108.65043369749003,-266.07396422524045,-175.20280944540843,17.779278917658004
146,0.5,0.5,1.0,0.0,112.21412861614523,-270.18013444638945,-179.30897966655743,21.34297383631322
