,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Factor
32,0.01,0.01,0.1,0.1,86.36266403445185,11.862397633667214,96.249964441973,-260.3736068446265,94.27898880925251,-262.3445824799462,3.884744949900906,Price Bias
33,0.01,0.05,0.1,0.1,88.18006669852633,20.176122426084223,101.30659281699646,-265.48119383649964,94.27898880925251,-272.50879784570475,49.387218099927225,Price Bias
34,0.01,0.1,0.1,0.1,89.9861714651094,29.999999947820644,112.2279141135058,-267.26528074050816,94.27898880925251,-285.21420605080317,322.1639196861065,Price Bias
35,0.05,-0.1,0.1,0.1,,,,,,,,Price Bias
36,0.05,-0.05,0.1,0.1,,,,,,,,Price Bias
37,0.05,-0.01,0.1,0.1,,,,,,,,Price Bias
38,0.05,0.0,0.1,0.1,,,,,,,,Price Bias
39,0.05,0.01,0.1,0.1,,,,,,,,Price Bias
40,0.05,0.05,0.1,0.1,89.75117757458754,11.932308516647891,100.05452942621761,-270.5405921957207,98.08632377820584,-272.50879784570475,3.87383347674728,Price Bias
41,0.05,0.1,0.1,0.1,91.67799086926414,29.999998467810475,107.14304647929775,-276.1574834114445,98.08632377820584,-285.21420605080317,82.02422552537273,Price Bias
42,0.1,-0.1,0.1,0.1,,,,,,,,Price Bias
43,0.1,-0.05,0.1,0.1,,,,,,,,Price Bias
44,0.1,-0.01,0.1,0.1,,,,,,,,Price Bias
45,0.1,0.0,0.1,0.1,,,,,,,,Price Bias
46,0.1,0.01,0.1,0.1,,,,,,,,Price Bias
47,0.1,0.05,0.1,0.1,,,,,,,,Price Bias
48,0.1,0.1,0.1,0.1,93.99404719841576,12.12352878098469,104.810221050241,-283.2493438985168,102.8453588977809,-285.21420605080317,3.8606832778287297,Price Bias
49,-0.1,-0.1,0.1,0.1,85.60909225192411,11.875520862871916,85.77152847094415,-258.0219755565515,83.98992994373971,-259.8035740497056,3.174093251472976,Production Bias
50,-0.1,-0.05,0.1,0.1,85.60909225192411,11.875520862871916,85.77152847094415,-258.0219755565515,83.98992994373971,-259.8035740497056,3.174093251472976,Production Bias
